               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.052689,            0.010871,           0.0032595,             0.37282,             0.49102,             0.31889,             0.12861,            0.071818,            0.011106,            0.013772,             0.00802,             0.00802,             0.00802
                  62,            0.055146,            0.010955,            0.003023,             0.50016,             0.45129,             0.40501,             0.16131,            0.075178,            0.010999,             0.01258,            0.007987,            0.007987,            0.007987
                  63,            0.057832,            0.011305,           0.0021941,             0.43178,             0.39519,             0.31748,              0.1277,            0.071855,            0.011422,            0.013933,            0.007954,            0.007954,            0.007954
                  64,            0.057599,           0.0099064,           0.0022999,             0.76831,             0.25285,             0.30054,             0.11385,            0.074041,            0.012154,             0.01761,            0.007921,            0.007921,            0.007921
                  65,            0.055413,            0.010852,           0.0028206,             0.58271,             0.36051,               0.336,             0.13791,            0.068133,            0.012906,            0.017487,            0.007888,            0.007888,            0.007888
                  66,            0.061459,            0.011728,           0.0021041,             0.35463,             0.32076,             0.22854,            0.098433,            0.070909,            0.012885,            0.012198,            0.007855,            0.007855,            0.007855
                  67,            0.061755,             0.01209,           0.0017857,             0.45376,             0.32707,             0.31358,             0.11504,            0.073534,            0.012451,            0.011092,            0.007822,            0.007822,            0.007822
                  68,            0.056972,            0.010617,           0.0024748,             0.48088,             0.37635,             0.36848,             0.16303,             0.06723,            0.011719,            0.010844,            0.007789,            0.007789,            0.007789
                  69,            0.054736,            0.011394,           0.0028862,             0.49117,             0.34356,              0.2492,            0.098215,            0.086225,            0.011389,            0.024525,            0.007756,            0.007756,            0.007756
                  70,            0.055092,            0.011047,           0.0054012,              0.7929,              0.2609,             0.27866,             0.10211,            0.080147,            0.011112,            0.024077,            0.007723,            0.007723,            0.007723
                  71,            0.055451,            0.010658,           0.0026539,             0.59597,             0.38507,             0.39257,             0.15153,            0.067656,            0.010592,            0.014697,             0.00769,             0.00769,             0.00769
                  72,            0.053247,            0.010824,           0.0028727,             0.58157,             0.40481,             0.38345,             0.17037,            0.070409,            0.010435,            0.016692,            0.007657,            0.007657,            0.007657
                  73,            0.052424,            0.010788,           0.0025336,             0.54292,             0.41706,             0.39457,             0.16295,            0.070208,            0.010478,            0.016216,            0.007624,            0.007624,            0.007624
                  74,            0.051799,            0.010368,           0.0028639,             0.54458,             0.40392,             0.40953,             0.18038,             0.06546,            0.010864,            0.013788,            0.007591,            0.007591,            0.007591
                  75,            0.047567,            0.010052,           0.0017481,             0.47685,             0.37461,             0.35633,             0.14822,            0.068209,            0.010728,            0.013079,            0.007558,            0.007558,            0.007558
                  76,              0.0536,            0.011239,           0.0014702,             0.59764,             0.43228,               0.409,             0.14773,            0.072909,            0.010521,            0.012665,            0.007525,            0.007525,            0.007525
                  77,            0.053284,             0.01011,           0.0011434,             0.48221,              0.4458,             0.39996,             0.17118,            0.067377,            0.010222,            0.010481,            0.007492,            0.007492,            0.007492
                  78,            0.054833,           0.0095166,           0.0013675,             0.51066,             0.47326,             0.45225,             0.18016,            0.062913,            0.010677,             0.01142,            0.007459,            0.007459,            0.007459
                  79,            0.050501,           0.0097802,           0.0018322,             0.69793,             0.53081,             0.56912,             0.22714,            0.062703,             0.01025,           0.0099323,            0.007426,            0.007426,            0.007426
                  80,            0.058764,           0.0098818,           0.0020714,             0.68464,             0.47844,             0.52671,             0.20953,            0.065512,            0.010853,           0.0097109,            0.007393,            0.007393,            0.007393
                  81,            0.048105,           0.0097283,           0.0016556,             0.71982,             0.51463,             0.52886,             0.21891,            0.060728,            0.010496,           0.0086098,             0.00736,             0.00736,             0.00736
                  82,            0.048653,            0.010008,           0.0028873,             0.71858,             0.44735,             0.51817,             0.22192,            0.063927,            0.010025,           0.0083849,            0.007327,            0.007327,            0.007327
                  83,            0.053554,           0.0091248,           0.0017866,             0.54506,             0.44706,             0.42596,             0.20106,            0.063183,            0.010618,           0.0099494,            0.007294,            0.007294,            0.007294
                  84,            0.048862,            0.010218,           0.0015378,             0.50534,              0.5493,             0.45482,             0.20355,             0.06184,            0.010075,            0.010153,            0.007261,            0.007261,            0.007261
                  85,            0.047219,           0.0088977,            0.001327,             0.66426,             0.40815,             0.48656,             0.21835,            0.063327,           0.0098819,            0.010064,            0.007228,            0.007228,            0.007228
                  86,             0.04762,            0.010279,           0.0024748,             0.63399,             0.44525,             0.48009,             0.16421,            0.072343,           0.0097303,            0.012822,            0.007195,            0.007195,            0.007195
                  87,            0.046612,            0.008113,           0.0018839,             0.61703,             0.42679,             0.46414,             0.14453,            0.069071,           0.0095958,            0.010065,            0.007162,            0.007162,            0.007162
                  88,            0.054671,           0.0096137,           0.0023859,             0.74113,              0.5176,             0.55245,             0.20702,            0.062816,            0.009586,           0.0090235,            0.007129,            0.007129,            0.007129
                  89,            0.043077,           0.0095641,           0.0020981,             0.68032,             0.55435,             0.56175,             0.21683,            0.065196,           0.0091638,           0.0090045,            0.007096,            0.007096,            0.007096
                  90,            0.046914,           0.0086226,           0.0017986,             0.65893,             0.42167,             0.43296,              0.1444,            0.069181,            0.009278,            0.010064,            0.007063,            0.007063,            0.007063
                  91,            0.049819,           0.0095464,           0.0024752,             0.69719,             0.46265,             0.45909,             0.16919,            0.065593,           0.0094926,           0.0096696,             0.00703,             0.00703,             0.00703
                  92,            0.049234,           0.0088415,           0.0034656,             0.64187,             0.50535,             0.53414,             0.22769,            0.062096,           0.0096073,           0.0073587,            0.006997,            0.006997,            0.006997
                  93,            0.042862,            0.010473,          0.00092308,             0.65931,             0.48589,             0.51888,             0.20159,            0.061373,            0.009442,           0.0068982,            0.006964,            0.006964,            0.006964
                  94,            0.048187,           0.0082919,           0.0012538,             0.67647,              0.4804,              0.5392,             0.24114,            0.060511,           0.0094102,           0.0078569,            0.006931,            0.006931,            0.006931
                  95,            0.048952,           0.0094764,           0.0053415,             0.68227,             0.54582,             0.53874,             0.23505,            0.059753,           0.0095828,           0.0078212,            0.006898,            0.006898,            0.006898
                  96,            0.045005,           0.0095703,           0.0014512,             0.69961,             0.46398,             0.50183,             0.19926,            0.062922,           0.0094644,           0.0089393,            0.006865,            0.006865,            0.006865
                  97,            0.044353,           0.0093338,           0.0015079,             0.68498,             0.53326,             0.52131,             0.23424,            0.060267,           0.0095634,           0.0078309,            0.006832,            0.006832,            0.006832
                  98,            0.046218,            0.010202,            0.001996,              0.5939,             0.49617,             0.50654,             0.23986,            0.064554,           0.0095906,           0.0086424,            0.006799,            0.006799,            0.006799
                  99,            0.052122,           0.0092682,           0.0024101,             0.68975,             0.43355,             0.50564,             0.21859,            0.061674,           0.0099569,           0.0049408,            0.006766,            0.006766,            0.006766
                 100,            0.050942,           0.0081251,           0.0026257,             0.49155,             0.47535,             0.45109,             0.20602,            0.062952,            0.010574,           0.0050398,            0.006733,            0.006733,            0.006733
                 101,            0.044279,            0.009331,           0.0016419,             0.60194,               0.456,             0.49252,             0.24438,            0.060687,             0.01008,           0.0064725,              0.0067,              0.0067,              0.0067
                 102,             0.04945,           0.0091061,           0.0017083,             0.56118,             0.39887,             0.41217,             0.18114,            0.067383,            0.010592,           0.0071259,            0.006667,            0.006667,            0.006667
                 103,            0.048239,           0.0082157,           0.0017166,             0.62044,             0.42794,             0.44441,             0.21191,            0.059169,            0.010648,           0.0059219,            0.006634,            0.006634,            0.006634
                 104,            0.044891,           0.0086166,           0.0014784,             0.52494,             0.49538,             0.44876,             0.14084,            0.063136,           0.0098335,           0.0052905,            0.006601,            0.006601,            0.006601
                 105,            0.041461,           0.0086694,           0.0009887,             0.65673,              0.4774,             0.52631,             0.21789,            0.057817,            0.010299,             0.00537,            0.006568,            0.006568,            0.006568
                 106,            0.043483,           0.0082318,            0.001236,               0.567,             0.51399,             0.50635,             0.23323,            0.058205,            0.009827,            0.006114,            0.006535,            0.006535,            0.006535
